id,st,end,time,stdev
153,42,43,0.7026883826255799,0.051875399168958086
154,42,44,3.547430466890335,0.026073805804522114
155,43,44,0.6381846722066402,0.022680854789095897
156,44,45,0.6839303362369538,0.4583932067064055
157,44,46,3.003984828233719,0.3354958701448482
158,44,47,0.8130030080676078,0.024228472508686403
159,44,48,2.972581856250763,0.02599123447483414
160,44,49,6.506559349060058,0.04620388289923866
161,44,50,2.4446891260147097,0.026782818770886167
162,45,46,0.69295747256279,0.05007759041206271
163,45,47,3.548559843301773,0.029672123732014426
164,46,47,0.6373343679010868,0.022687839786753237
165,47,48,0.6076777919828892,0.018993157446741248
166,47,49,3.003116608142853,0.3442151670960931
167,47,50,1.2492375683784485,0.01869751489654087
168,48,49,0.7031524150371552,0.0514807799770231
169,48,50,6.2074888048172,0.14871585581801977
170,49,50,1.0109822389483452,0.5317837295019129
